站点名称,河流,监测时间,高锰酸盐指数,氨氮,总磷,浊度,溶解氧,pH,生物毒性,水质类别,考核水质类别,不达标因子,crawling_time
黄龙溪,府河,2020-06-08 04,4.80,0.220,0.119,113.8,6.49,7.31,--,III,Ⅴ,-,2020-06-08 07:05:02
黄龙溪,府河,2020-06-08 08,4.80,0.340,0.131,97.4,6.11,7.28,--,III,Ⅴ,-,2020-06-08 11:05:02
黄龙溪,府河,2020-06-08 12,4.40,0.360,0.131,92.5,6.32,7.41,--,III,Ⅴ,-,2020-06-08 15:05:02
黄龙溪,府河,2020-06-08 16,4.70,0.360,0.121,93.7,NA,7.40,--,III,Ⅴ,-,2020-06-08 19:05:03
黄龙溪,府河,2020-06-08 20,4.50,0.360,0.126,74.2,NA,7.38,--,III,Ⅴ,-,2020-06-08 23:05:02
黄龙溪,府河,2020-06-09 00,4.20,0.290,0.124,70.8,6.07,7.42,--,III,Ⅴ,-,2020-06-09 03:05:02
黄龙溪,府河,2020-06-09 04,4.20,0.230,0.123,62.0,6.57,7.43,--,III,Ⅴ,-,2020-06-09 07:05:02
黄龙溪,府河,2020-06-09 08,4.10,0.280,0.121,66.5,6.30,7.43,--,III,Ⅴ,-,2020-06-09 11:05:02
黄龙溪,府河,2020-06-09 12,4.50,0.320,0.120,130.6,6.67,7.43,--,III,Ⅴ,-,2020-06-09 15:05:03
黄龙溪,府河,2020-06-09 16,4.10,0.340,0.115,80.0,6.78,7.44,--,III,Ⅴ,-,2020-06-09 19:05:03
黄龙溪,府河,2020-06-09 20,4.60,0.270,0.136,106.2,6.69,7.49,--,III,Ⅴ,-,2020-06-09 23:05:02
黄龙溪,府河,2020-06-10 00,4.60,0.220,0.127,87.3,6.30,7.51,--,III,Ⅴ,-,2020-06-10 03:05:02
黄龙溪,府河,2020-06-10 04,4.20,0.170,0.125,73.2,6.70,7.58,--,III,Ⅴ,-,2020-06-10 07:05:02
黄龙溪,府河,2020-06-10 08,4.20,0.190,0.130,76.9,6.56,7.56,--,III,Ⅴ,-,2020-06-10 11:05:02
