time,NH4_hlx,NH4_djy,WT_djy,NH4_ejs,WT_ejs,WT_hlx,Q_ZPP,H_wj,Q_wj
2020/1/23 0:00,0.65,0.045,9.79,0.44,11.79,12.8,3772800,486.94,239040
2020/1/23 4:00,0.58,0.044,9.66,0.48,11.54,12.3,3772800,486.935,238564.8
2020/1/23 8:00,0.66,0.053,9.75,0.5,11.54,12.1,3772800,486.93,238075.2
2020/1/23 12:00,0.5,0.05,10.25,0.38,11.8,12.5,3772800,486.925,237600
2020/1/23 16:00,0.4,0.053,10.13,0.41,11.87,12.4,3772800,486.92,237124.8
2020/1/23 20:00,0.341779679,0.053,9.81,0.44,11.74,12.1,3772800,486.915,236635.2
2020/1/24 0:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.91,236160
2020/1/24 4:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.912,234000
2020/1/24 8:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.913,231840
2020/1/24 12:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.915,229680
2020/1/24 16:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.917,227520
2020/1/24 20:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3369600,486.918,225360
2020/1/25 0:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.92,223200
2020/1/25 4:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.918,221040
2020/1/25 8:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.917,218880
2020/1/25 12:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.915,216720
2020/1/25 16:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.913,214560
2020/1/25 20:00,0.344958127,0.05210799,10.51035595,0.412041008,11.76138878,12.43180466,3268800,486.912,212400
2020/1/26 0:00,0.094239339,0.058655754,9.782561302,0.232239634,10.79162884,10.82860756,3355200,486.91,210240
2020/1/26 4:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3355200,486.91,208555.2
2020/1/26 8:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3355200,486.91,206884.8
2020/1/26 12:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3355200,486.91,205200
2020/1/26 16:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3355200,486.91,203515.2
2020/1/26 20:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3355200,486.91,201844.8
2020/1/27 0:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.91,200160
2020/1/27 4:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.912,199440
2020/1/27 8:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.913,198720
2020/1/27 12:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.915,198000
2020/1/27 16:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.917,197280
2020/1/27 20:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3211200,486.918,196560
2020/1/28 0:00,0.084734164,0.058655754,9.782561302,0.232239634,10.76031685,10.82860756,3484800,486.92,195840
2020/1/28 4:00,0.148755804,0.058,8.98,0.22,10.55,11.7,3484800,486.92,196560
2020/1/28 8:00,0.05,0.066,8.94,0.23,10.43,10.1,3484800,486.92,197280
2020/1/28 12:00,0.13,0.06,9.95,0.18,10.38,10.1,3484800,486.92,198000
2020/1/28 16:00,0.15,0.062,10.28,0.17,10.69,10.3,3484800,486.92,198720
2020/1/28 20:00,0.2,0.06,9.13,0.19,10.66,10.3,3484800,486.92,199440
2020/1/29 0:00,0.1,0.06,8.88,0.2,10.34,10,3499200,486.92,200160
2020/1/29 4:00,0.08,0.057,8.48,0.23,10.05,9.8,3499200,486.925,201844.8
2020/1/29 8:00,0.16,0.059,8.46,0.25,9.84,9.7,3499200,486.93,203515.2
2020/1/29 12:00,0.15,0.059,13.1,0.19,10.25,9.9,3499200,486.935,205200
2020/1/29 16:00,0.15,0.056,13.24,0.15,11.63,10.7,3499200,486.94,206884.8
2020/1/29 20:00,0.13,0.056,10.16,0.15,11.63,10.8,3499200,486.945,208555.2
2020/1/30 0:00,0.09,0.056,9.44,0.19,11.23,10.4,3240000,486.95,210240
2020/1/30 4:00,0.08,0.055,9.52,0.21,11.04,10.3,3240000,486.947,211204.8
2020/1/30 8:00,0.1,0.054,9.34,0.19,10.94,10.7,3240000,486.943,212155.2
2020/1/30 12:00,0.13,0.058,12.03,0.16,11.27,11.1,3240000,486.94,213120
2020/1/30 16:00,0.082458161,0.054,11.1,0.13,11.67,11.78958893,3240000,486.937,214084.8
2020/1/30 20:00,0.16,0.055,9.7,0.18,11.47,11.2,3240000,486.933,215035.2
2020/1/31 0:00,0.12,0.058,9.41,0.21,11.27,10.8,3297600,486.93,216000
2020/1/31 4:00,0.07,0.057,9.33,0.25,11.24,10.7,3297600,486.933,217195.2
2020/1/31 8:00,0.15,0.056,9.15,0.25,11.22,10.8,3297600,486.937,218404.8
2020/1/31 12:00,0.09,0.056,10.47,0.23,11.25,10.8,3297600,486.94,219600
2020/1/31 16:00,0.09,0.059,9.77,0.18,11.43,10.9,3297600,486.943,220795.2
2020/1/31 20:00,0.1,0.058,9.6,0.2,11.33,10.9,3297600,486.947,222004.8
2020/2/1 0:00,0.06,0.059,9.5,0.23,11.13,10.8,3096000,486.95,223200
2020/2/1 4:00,0.05,0.057,9.35,0.27,11.03,10.7,3096000,486.948,222480
2020/2/1 8:00,0.11,0.063,9.26,0.25,11.04,10.7,3096000,486.947,221760
2020/2/1 12:00,0.16,0.058,10.26,0.23,11.14,10.8,3096000,486.945,221040
2020/2/1 16:00,0.11,0.052,9.94,0.22,11.15,11,3096000,486.943,220320
2020/2/1 20:00,0.11,0.056,9.59,0.22,11.11,11.1,3096000,486.942,219600
2020/2/2 0:00,0.1,0.059,9.43,0.28,10.97,10.8,2995200,486.94,218880
2020/2/2 4:00,0.07,0.056,9.23,0.31,11,10.8,2995200,486.942,218880
2020/2/2 8:00,0.17,0.065,9.22,0.3,10.97,10.7,2995200,486.943,218880
2020/2/2 12:00,0.2,0.056,9.99,0.24,11.27,10.9,2995200,486.945,218880
2020/2/2 16:00,0.1,0.058,9.98,0.23,11.59,11.1,2995200,486.947,218880
2020/2/2 20:00,0.15,0.056,9.56,0.25,11.58,11,2995200,486.948,218880
2020/2/3 0:00,0.07,0.059,9.39,0.28,11.2,10.8,3182400,486.95,218880
2020/2/3 4:00,0.09,0.058,9.11,0.33,11.07,10.8,3182400,486.952,218635.2
2020/2/3 8:00,0.14,0.056,9.06,0.27,10.87,10.8,3182400,486.953,218404.8
2020/2/3 12:00,0.16,0.061,11.78,0.26,11.34,11.1,3182400,486.955,218160
2020/2/3 16:00,0.16,0.056,11.12,0.2,12.21,11.6,3182400,486.957,217915.2
2020/2/3 20:00,0.17,0.057,9.78,0.19,12.28,11.5,3182400,486.958,217684.8
2020/2/4 0:00,0.14,0.057,9.64,0.24,11.75,11.3,3110400,486.96,217440
2020/2/4 4:00,0.07,0.057,9.43,0.31,11.58,11.2,3110400,486.958,216964.8
2020/2/4 8:00,0.18,0.066,9.23,0.25,11.4,11.4,3110400,486.957,216475.2
2020/2/4 12:00,0.21,0.059,11.52,0.19,11.73,11.6,3110400,486.955,216000
2020/2/4 16:00,0.13,0.055,10.3,0.15,12.51,12.2,3110400,486.953,215524.8
2020/2/4 20:00,0.16,0.06,9.79,0.16,12.41,12,3110400,486.952,215035.2
2020/2/5 0:00,0.14,0.058,9.63,0.2,12.08,11.7,3312000,486.95,214560
2020/2/5 4:00,0.06,0.059,9.38,0.24,11.94,11.6,3312000,486.947,214084.8
2020/2/5 8:00,0.14,0.063,9.29,0.21,11.8,11.8,3312000,486.943,213595.2
2020/2/5 12:00,0.13,0.062,9.69,0.21,11.91,11.8,3312000,486.94,213120
2020/2/5 16:00,0.14,0.094,10.28,0.18,12.22,12.1,3312000,486.937,212644.8
2020/2/5 20:00,0.1,0.081,9.58,0.18,12.16,11.9,3312000,486.933,212155.2
2020/2/6 0:00,0.08,0.084,9.36,0.2,11.83,11.7,3225600,486.93,211680
2020/2/6 4:00,0.05,0.078,9.18,0.25,11.71,11.5,3225600,486.93,210715.2
2020/2/6 8:00,0.11,0.078,9.06,0.24,11.45,11.4,3225600,486.93,209764.8
2020/2/6 12:00,0.15,0.081,12.48,0.21,11.85,11.7,3225600,486.93,208800
2020/2/6 16:00,0.119017772,0.084,10.58,0.17,12.95,12.5,3225600,486.93,207835.2
2020/2/6 20:00,0.11,0.078,9.59,0.16,12.85,12.3,3225600,486.93,206884.8
2020/2/7 0:00,0.07,0.076,9.69,0.23,12.24,11.9,3326400,486.93,205920
2020/2/7 4:00,0.05,0.08,9.58,0.27,12.02,11.6,3326400,486.932,206884.8
2020/2/7 8:00,0.09,0.085,9.36,0.22,11.78,11.9,3326400,486.933,207835.2
2020/2/7 12:00,0.12,0.079,9.97,0.18,11.88,11.8,3326400,486.935,208800
2020/2/7 16:00,0.14,0.079,9.56,0.16,12.11,12,3326400,486.937,209764.8
2020/2/7 20:00,0.1,0.078,9.41,0.17,11.86,11.8,3326400,486.938,210715.2
2020/2/8 0:00,0.09,0.081,9.42,0.2,11.55,11.6,3369600,486.94,211680
2020/2/8 4:00,0.07,0.081,9.29,0.25,11.4,11.4,3369600,486.942,214084.8
2020/2/8 8:00,0.14,0.086,9.19,0.22,11.13,11.4,3369600,486.943,216475.2
2020/2/8 12:00,0.16,0.077,10.07,0.2,11.21,11.5,3369600,486.945,218880
2020/2/8 16:00,0.1,0.08,10.54,0.15,11.72,11.7,3369600,486.947,221284.8
2020/2/8 20:00,0.11,0.078,9.55,0.16,11.69,11.6,3369600,486.948,223675.2
2020/2/9 0:00,0.09,0.082,9.67,0.19,11.33,11.7,3412800,486.95,226080
2020/2/9 4:00,0.05,0.074,9.52,0.2,11.25,11.3,3412800,486.95,226080
2020/2/9 8:00,0.11,0.079,9.22,0.2,10.96,11,3412800,486.95,226080
2020/2/9 12:00,0.14,0.084,13.76,0.18,11.47,11.4,3412800,486.95,226080
2020/2/9 16:00,0.11,0.08,12.27,0.13,12.73,12.1,3412800,486.95,226080
2020/2/9 20:00,0.1,0.08,10.27,0.16,12.78,12,3412800,486.95,226080
2020/2/10 0:00,0.07,0.082,9.79,0.2,12.18,11.7,3456000,486.95,226080
2020/2/10 4:00,0.05,0.073,9.34,0.24,11.82,11.8,3456000,486.948,225604.8
2020/2/10 8:00,0.13,0.081,9.38,0.21,11.56,11.9,3456000,486.947,225115.2
2020/2/10 12:00,0.12,0.08,12.8,0.15,12.02,12.3,3456000,486.945,224640
2020/2/10 16:00,0.14,0.08,11.11,0.11,12.92,13,3456000,486.943,224164.8
2020/2/10 20:00,0.11,0.081,10.08,0.16,12.53,12.9,3456000,486.942,223675.2
2020/2/11 0:00,0.1,0.08,9.91,0.17,12.25,12.4,3369600,486.94,223200
2020/2/11 4:00,0.05,0.08,9.05,0.26,12.09,12.1,3369600,486.942,222955.2
2020/2/11 8:00,0.11,0.08,9.06,0.2,11.79,12.3,3369600,486.943,222724.8
2020/2/11 12:00,0.13,0.085,13.52,0.16,12.4,12.7,3369600,486.945,222480
2020/2/11 16:00,0.13,0.081,11.8,0.12,13.65,13.5,3369600,486.947,222235.2
2020/2/11 20:00,0.09,0.081,10.38,0.15,13.53,13.3,3369600,486.948,222004.8
2020/2/12 0:00,0.07,0.08,9.72,0.19,12.73,12.9,2851200,486.95,221760
2020/2/12 4:00,0.05,0.076,9.21,0.27,12.34,12.5,2851200,486.94,222004.8
2020/2/12 8:00,0.12,0.081,9.34,0.21,12.01,12.6,2851200,486.93,222235.2
2020/2/12 12:00,0.07,0.08,13.69,0.18,12.2,13,2851200,486.92,222480
2020/2/12 16:00,0.08,0.079,12.02,0.17,13.12,13.8,2851200,486.91,222724.8
2020/2/12 20:00,0.08,0.079,10.29,0.16,13.01,13.6,2851200,486.9,222955.2
2020/2/13 0:00,0.08,0.082,10.16,0.25,12.81,13,2649600,486.89,223200
2020/2/13 4:00,0.05,0.081,9.73,0.29,12.57,12.9,2649600,486.89,223444.8
2020/2/13 8:00,0.08,0.082,9.52,0.24,12.51,13,2649600,486.89,223675.2
2020/2/13 12:00,0.11,0.082,13.69,0.19,12.95,13.6,2649600,486.89,223920
2020/2/13 16:00,0.08,0.063,7.95,0.14,13.82,14,2649600,486.89,224164.8
2020/2/13 20:00,0.09,0.053,6.41,0.16,13.81,14,2649600,486.89,224395.2
2020/2/14 0:00,0.07,0.052,6.21,0.23,13.29,13.7,2923200,486.89,224640
2020/2/14 4:00,0.05,0.052,6.01,0.36,13.23,13.5,2923200,486.893,224395.2
2020/2/14 8:00,0.07,0.054,5.71,0.3,13.02,13.6,2923200,486.897,224164.8
2020/2/14 12:00,0.08,0.058,6.69,0.26,13.05,13.6,2923200,486.9,223920
